-01-08,1600,1,850,4
InnoWave,2022-01-09,1300,700,600
SparkleShine,2022-01-10,900,450,450
GloboTech,2022-01-11,1400,750,650
DreamCatch,2022-01-12,1700,800,900
WhizBang,2022-01-13,1100,550,550
PixelPerfect,2022-01-14,1200,700,
FlavorFusion,2022-01-15,1900,950,950
SwiftSlice,2022-01-16,1200,600,600
CloudCraze,2022-01-17,1500,800,700
InnoWave,2022-01-18,,1000,1000
SparkleShine,2022-01-19,1300,700,600
GloboTech,2022-01-20,1600,900,700
DreamCatch,2022-01-21,2200,1100,1100
WhizBang,2022-01-22,1400,750,750
PixelPerfect,2022-01-23,1700,950,750
FlavorFusion,2022-01-24,2500,1200,1300
SwiftSlice,2022-01-25,1500,800,700
CloudCraze,2022-01-26,1800,1000,800
InnoWave,2022-01-27,2800,1300,1500
SparkleShine,2022-01-28,1600,900,700
GloboTech,2022-01-29,2000,1100,900
DreamCatch,2022-01-30,3000,1500,1500
SparkleShine,2022-01-01,900,500,400
GloboTech,2022-01-02,1500,,700
DreamCatch,2022-01-03,1200,700,500
WhizBang,2022-01-04,800,400,400
PixelPerfect,2022-01-05,1800,900,900
FlavorFusion,2022-01-06,1100,650,450
SwiftSlice,2022-01-07,1000,500,500
CloudCraze,2022-01-08,1600,800,850
InnoWave,2022-01-09,1300,700,600
SparkleShine,2022-01-10,900,450,450
GloboTech,2022-01-11,1400,750,650
DreamCatch,2022-01-12,1700,800,900
WhizBang,2022-01-13,1100,550,550
PixelPerfect,2022-01-14,1200,700,500
FlavorFusion,2022-01-15,1900,950,950
SwiftSlice,2022-01-16,1200,600,600
CloudCraze,2022-01-17,1500,800,700
InnoWave,2022-01-18,2000,1000,
SparkleShine,2022-01-19,1300,700,600
GloboTech,2022-01-20,1600,900,700
DreamCatch,2022-01-21,2200,1100,1100
WhizBang,2022-01-22,1400,750,750
PixelPerfect,2022-01-23,1700,950,750
FlavorFusion,2022-01-24,2500,1200,1300
SwiftSlice,2022-01-25,1500,800,700
CloudCraze,2022-01-26,1800,,800
InnoWave,2022-01-27,2800,1300,1500
SparkleShine,2022-01-28,1600,900,700
GloboTech,2022-01-29,2000,1100,900
DreamCatch,2022-01-30,3000,1500,1500
