Match ID,Tournament,Year,Round,Surface,Player 1 Name,Player 2 Name,Player 1 Rank,Player 2 Rank,Winner,Score,Match Duration
M0000,French Open,2002,First Round,Hard,Daniil Becker,Novak Alcaraz,2,34,Daniil Becker,"7-5, 6-3, 6-1, 6-4",142
M0001,Australian Open,2002,First Round,Clay,John McEnroe,Novak Medvedev,100,80,Novak Medvedev,"6-2, 6-0, 6-3, 6-1, 6-0",215
M0002,US Open,2017,Third Round,Grass,John Murray,Andy McEnroe,49,68,John Murray,"6-2, 6-4, 6-0, 7-6, 6-1",116
M0003,Wimbledon,2012,Semifinal,Grass,John Medvedev,Novak Sampras,71,85,John Medvedev,"6-3, 7-6, 6-3",145
M0004,US Open,2008,Second Round,Clay,Stefanos McEnroe,Carlos Medvedev,30,7,Carlos Medvedev,"6-0, 7-5, 6-4",148
M0005,Wimbledon,2018,Final,Hard,Andy Nadal,Carlos Sampras,96,65,Carlos Sampras,"6-1, 6-4, 6-4, 6-4",128
M0006,Australian Open,2021,Final,Hard,Carlos Nadal,Stefanos Becker,98,65,Stefanos Becker,"6-0, 7-6, 6-0",108
M0007,French Open,2021,First Round,Grass,Rafael Sampras,Andy Murray,54,81,Rafael Sampras,"6-3, 6-3, 6-3, 6-0",173
M0008,Australian Open,2013,First Round,Hard,Roger Tsitsipas,Rafael Alcaraz,13,49,Roger Tsitsipas,"6-0, 7-6, 6-1, 6-0, 6-4",106
M0009,Australian Open,2022,First Round,Grass,Novak Djokovic,Andy McEnroe,52,2,Andy McEnroe,"6-0, 6-1, 6-0",138
M0010,Australian Open,2023,Third Round,Clay,John Alcaraz,Roger Nadal,95,2,Roger Nadal,"7-6, 6-4, 6-3, 6-4, 7-5",204
M0011,Wimbledon,2000,Semifinal,Hard,Rafael Alcaraz,Novak Nadal,46,38,Novak Nadal,"6-1, 6-3, 6-1, 6-2, 6-0",103
M0012,Australian Open,2013,Quarterfinal,Grass,Roger Murray,Boris Becker,58,34,Boris Becker,"6-0, 6-2, 7-5",169
M0013,US Open,2020,Final,Clay,Boris Becker,Novak Murray,16,43,Boris Becker,"6-0, 6-4, 6-3",186
M0014,Australian Open,2016,Second Round,Hard,Andy Sampras,Novak Alcaraz,91,61,Novak Alcaraz,"6-1, 6-1, 6-4, 6-0, 6-3",104
M0015,Wimbledon,2012,First Round,Hard,Pete Sampras,Novak Nadal,31,39,Pete Sampras,"7-6, 6-2, 6-4, 6-3",128
M0016,Australian Open,2002,Third Round,Hard,Carlos Federer,John Medvedev,30,50,Carlos Federer,"6-4, 6-2, 6-0, 7-5, 6-0",130
M0017,French Open,2013,Third Round,Hard,Carlos McEnroe,Boris Sampras,59,53,Boris Sampras,"6-1, 6-0, 6-0, 6-4, 6-2",104
M0018,Wimbledon,2004,Final,Hard,Daniil Federer,Roger Tsitsipas,15,40,Daniil Federer,"7-5, 6-2, 7-5, 6-4",136
M0019,Wimbledon,2016,Third Round,Hard,John Nadal,Boris Tsitsipas,19,53,John Nadal,"6-3, 7-5, 6-2, 7-5",146
